-95.582,38.673,110M/110 Mile Park - Pomona Reservoir  TYPE:COE PH:785.453.2201   SITES:25  AMEN:NH NR  LON/LAT:-95.582/38.673,110M,110 Mile Park - Pomona Reservoir,COE,785.453.2201, , ,25, ,NH NR 
-92.875,42.953,ACKL/Ackley Creek County Park  TYPE:CP PH:641.756.3490   SITES:40  AMEN:E DP DW SH L$  LON/LAT:-92.875/42.953,ACKL,Ackley Creek County Park,CP,641.756.3490, , ,40, ,E DP DW SH L$ 
-93.724,41.738,ACOR/Acorn Valley - Saylorville Lake  TYPE:COE PH:515.276.0429 OPEN:early jun-late aug  SITES:70  AMEN:E DP DW SH RS PA  LON/LAT:-93.724/41.738,ACOR,Acorn Valley - Saylorville Lake,COE,515.276.0429,early jun-late aug, ,70, ,E DP DW SH RS PA 
-88.731,45.371,ADAL/Ada Lake  TYPE:NF PH:715.276.6333/715.762.2461   SITES:27 EL:1672 AMEN:NH NR  LON/LAT:-88.731/45.371,ADAL,Ada Lake,NF,715.276.6333/715.762.2461, , ,27,1672,NH NR 
-94.643,41.498,ADAI/Adair City Park  TYPE:CP PH:641.742.3751   SITES:12  AMEN:E SH  LON/LAT:-94.643/41.498,ADAI,Adair City Park,CP,641.742.3751, , ,12, ,E SH 
-92.21,43.12,ADOL/Adolph Munson Park  TYPE:CP      AMEN:NH PT  LON/LAT:-92.21/43.12,ADOL,Adolph Munson Park,CP, , , , , ,NH PT 
-95.94,43.64,ADRI/Adrian City Park  TYPE:CP PH:507.483.2820 OPEN:mid may-mid oct  SITES:100  AMEN:E DP 40ft SH  LON/LAT:-95.94/43.64,ADRI,Adrian City Park,CP,507.483.2820,mid may-mid oct, ,100, ,E DP 40ft SH 
-92.791,44.848,AFTO/Afton State Park  TYPE:SP PH:651.436.5391 OPEN:all year  SITES:25  AMEN:RS  LON/LAT:-92.791/44.848,AFTO,Afton State Park,SP,651.436.5391,all year, ,25, ,RS 
-99.845,42.548,AINS/Ainsworth East City Park  TYPE:CP PH:402.387.2494 OPEN:early may-late oct  SITES:30  AMEN:WE DP FT DW SH L$  LON/LAT:-99.845/42.548,AINS,Ainsworth East City Park,CP,402.387.2494,early may-late oct, ,30, ,WE DP FT DW SH L$ 
-92.348,43.09,AIRP/Airport Lake Park  TYPE:CP   COMM:primitive - tent SITES:50  AMEN:E PT  LON/LAT:-92.348/43.09,AIRP,Airport Lake Park,CP, , ,primitive - tent,50, ,E PT 
-97.657,39.546,AIRP/Airport Park  TYPE:CP PH:765.243.1150   SITES:15  AMEN:WE DP L$  LON/LAT:-97.657/39.546,AIRP,Airport Park,CP,765.243.1150, , ,15, ,WE DP L$ 
-93.713,46.54,AITC/Aitkin County Campground  TYPE:CP    SITES:7  AMEN:E DP VT DW NS L$  LON/LAT:-93.713/46.54,AITC,Aitkin County Campground,CP, , , ,7, ,E DP VT DW NS L$ 
-94.735,47.003,AKEL/Akeley City Campground  TYPE:CP PH:218.252.4570 OPEN:mid may-mid sep  SITES:40  AMEN:E DP DW SH  LON/LAT:-94.735/47.003,AKEL,Akeley City Campground,CP,218.252.4570,mid may-mid sep, ,40, ,E DP DW SH 
-96.556,42.832,AKRO/Akron City Park  TYPE:CP      AMEN:E DW SH L$  LON/LAT:-96.556/42.832,AKRO,Akron City Park,CP, , , , , ,E DW SH L$ 
-94.926,41.711,ALBE/Albert the Bull CG  TYPE:CP PH:712.563.3856   SITES:40  AMEN:E DP DW SH  LON/LAT:-94.926/41.711,ALBE,Albert the Bull CG,CP,712.563.3856, , ,40, ,E DP DW SH 
-98.009,41.682,ALBI/Albion Campground  TYPE:CP PH:402.395.2428  COMM:register at city hall SITES:28  AMEN:WES DP FT DW SH NR L$  LON/LAT:-98.009/41.682,ALBI,Albion Campground,CP,402.395.2428, ,register at city hall,28, ,WES DP FT DW SH NR L$ 
-92.313,42.88,ALCO/Alcock Park  TYPE:CP PH:319.882.4742 OPEN:early may-late oct  SITES:40  AMEN:E DP DW SH L$  LON/LAT:-92.313/42.88,ALCO,Alcock Park,CP,319.882.4742,early may-late oct, ,40, ,E DP DW SH L$ 
-95.125,44.548,ALEX/Alexander Ramsey Park  TYPE:CP PH:507.637.5755 OPEN:mid may-mid oct  SITES:31  AMEN:E DP DW SH  LON/LAT:-95.125/44.548,ALEX,Alexander Ramsey Park,CP,507.637.5755,mid may-mid oct, ,31, ,E DP DW SH 
-97.332,40.232,ALEX/Alexandria Lakes  State Rec Area  TYPE:SRA PH:402.729.5777   SITES:45  AMEN:E DP FT NS NR  LON/LAT:-97.332/40.232,ALEX,Alexandria Lakes  State Rec Area,SRA,402.729.5777, , ,45, ,E DP FT NS NR 
-97.554,46.76,ALIC/Alice City Park  TYPE:CP PH:701.689.6421  COMM:unknown facilities   AMEN:E  LON/LAT:-97.554/46.76,ALIC,Alice City Park,CP,701.689.6421, ,unknown facilities, , ,E 
-93.907,44.522,ALLA/Allansons Park  TYPE:CP PH:507.248.3234   SITES:15  AMEN:E FT DW SH N$  LON/LAT:-93.907/44.522,ALLA,Allansons Park,CP,507.248.3234, , ,15, ,E FT DW SH N$ 
-96.005,42.998,ALTO/Alton Roadside Park  TYPE:CP      AMEN:E DP DW SH L$  LON/LAT:-96.005/42.998,ALTO,Alton Roadside Park,CP, , , , , ,E DP DW SH L$ 
-97.004,48.191,ALVA/Alvarado City Park  TYPE:CP PH:218.965.4911     AMEN:E DP FT DW  LON/LAT:-97.004/48.191,ALVA,Alvarado City Park,CP,218.965.4911, , , , ,E DP FT DW 
-94.247,43.052,AMBR/Ambrose Call State Park  TYPE:SP PH:515.295.3669 OPEN:early may-late sep  SITES:15  AMEN:NH RS  LON/LAT:-94.247/43.052,AMBR,Ambrose Call State Park,SP,515.295.3669,early may-late sep, ,15, ,NH RS 
-95.618,45.32,AMBU/Ambush City Park  TYPE:CP PH:320.843.4775   SITES:16  AMEN:E DP DW SH  LON/LAT:-95.618/45.32,AMBU,Ambush City Park,CP,320.843.4775, , ,16, ,E DP DW SH 
-99.329,43.818,AMER/American Creek  - Lake Francis Case  TYPE:COE     EL:1365 AMEN:NR  LON/LAT:-99.329/43.818,AMER,American Creek  - Lake Francis Case,COE, , , , ,1365,NR 
-95.857,46.805,AMER/American Legion Park - Detroit Lakes  TYPE:CP PH:218.847.3759   SITES:100  AMEN:WE DP DW SH  LON/LAT:-95.857/46.805,AMER,American Legion Park - Detroit Lakes,CP,218.847.3759, , ,100, ,WE DP DW SH 
-93.3,47.138,AMEW/American Legion Park - Warba  TYPE:CP PH:218.326.6420     LON/LAT:-93.3/47.138,AMEW,American Legion Park - Warba,CP,218.326.6420, , , , ,
-103.588,48.057,AMER/American Legion Park - Williston  TYPE:CP PH:701.572.3612  COMM:unknown facilities SITES:15  AMEN:E ND NS  LON/LAT:-103.588/48.057,AMER,American Legion Park - Williston,CP,701.572.3612, ,unknown facilities,15, ,E ND NS 
-93.609,42.026,AMES/Ames Bandshell City Park  TYPE:CP      AMEN:NH ND NS N$  LON/LAT:-93.609/42.026,AMES,Ames Bandshell City Park,CP, , , , , ,NH ND NS N$ 
-91.893,46.609,AMNI/Amnicon Falls  TYPE:SP PH:715.398.3000 OPEN:all year  SITES:35  AMEN:NH RS PA  LON/LAT:-91.893/46.609,AMNI,Amnicon Falls,SP,715.398.3000,all year, ,35, ,NH RS PA 
-92.555,46.372,ANDE/Anderson - Berger Park  TYPE:CP      AMEN:NH L$  LON/LAT:-92.555/46.372,ANDE,Anderson - Berger Park,CP, , , , , ,NH L$ 
-95.108,43.527,ANDE/Anderson - Brown County Parks  TYPE:CP PH:507.847.2240  COMM:3 campgrounds around Loon Lake   AMEN:E DP DW SH L$  LON/LAT:-95.108/43.527,ANDE,Anderson - Brown County Parks,CP,507.847.2240, ,3 campgrounds around Loon Lake, , ,E DP DW SH L$ 
-94.882,46.699,ANDE/Andersons Crossing  TYPE:CP      AMEN:NH ND NS N$  LON/LAT:-94.882/46.699,ANDE,Andersons Crossing,CP, , , , , ,NH ND NS N$ 
-103.426,43.34,ANGO/Angostura  State Rec Area  TYPE:SRA PH:605.745.6996 OPEN:all year  SITES:170 EL:3226 AMEN:E DP SH RS  LON/LAT:-103.426/43.34,ANGO,Angostura  State Rec Area,SRA,605.745.6996,all year, ,170,3226,E DP SH RS 
-93.694,45.425,ANNL/Ann Lake - Sand Dunes State Forest  TYPE:SF PH:763.878.2325  COMM:primitive - open all year but snow may block SITES:30  AMEN:NH ND VT DW NS NR L$  LON/LAT:-93.694/45.425,ANNL,Ann Lake - Sand Dunes State Forest,SF,763.878.2325, ,primitive - open all year but snow may block,30, ,NH ND VT DW NS NR L$ 
-98.049,37.175,ANTH/Anthony City Lake  TYPE:CP PH:620.842.5434  COMM:cold showers SITES:66  AMEN:E DW SH  LON/LAT:-98.049/37.175,ANTH,Anthony City Lake,CP,620.842.5434, ,cold showers,66, ,E DW SH 
-89.146,45.142,ANTI/Antigo Lake RV Park  TYPE:CP PH:715.610.1189  COMM:quiet - small SITES:13  AMEN:WES DP FT DW NR  LON/LAT:-89.146/45.142,ANTI,Antigo Lake RV Park,CP,715.610.1189, ,quiet - small,13, ,WES DP FT DW NR 
-101.278,48.992,ANTL/Antler Memorial Park  TYPE:CP   COMM:outdoor toilets   AMEN:E DP N$  LON/LAT:-101.278/48.992,ANTL,Antler Memorial Park,CP, , ,outdoor toilets, , ,E DP N$ 
-89.061,45.937,ANVI/Anvil Lake  TYPE:NF PH:715.528.4464/715.762.2461   SITES:18  AMEN:NH NR  LON/LAT:-89.061/45.937,ANVI,Anvil Lake,NF,715.528.4464/715.762.2461, , ,18, ,NH NR 
-96.021,45.204,APPL/Appleton Municipal Campground  TYPE:CP    SITES:12  AMEN:E DW SH NR L$  LON/LAT:-96.021/45.204,APPL,Appleton Municipal Campground,CP, , , ,12, ,E DW SH NR L$ 
-96.021,45.204,APPL/Appleton Municipal Park  TYPE:CP PH:320.289.1363     AMEN:E SH  LON/LAT:-96.021/45.204,APPL,Appleton Municipal Park,CP,320.289.1363, , , , ,E SH 
-97.764,37.247,ARGO/Argonia River Park  TYPE:CP PH:620.435.6553   SITES:14  AMEN:WES DP FT DW SH  LON/LAT:-97.764/37.247,ARGO,Argonia River Park,CP,620.435.6553, , ,14, ,WES DP FT DW SH 
-100.761,37.148,ARKA/Arkalon Park  TYPE:CP PH:620.626.0531   SITES:100  AMEN:WE DP DW SH  LON/LAT:-100.761/37.148,ARKA,Arkalon Park,CP,620.626.0531, , ,100, ,WE DP DW SH 
-100.197,41.413,ARNO/Arnold Lake  State Rec Area  TYPE:SRA PH:308.848.2228 OPEN:all year  SITES:120  AMEN:E DP PT NS NR  LON/LAT:-100.197/41.413,ARNO,Arnold Lake  State Rec Area,SRA,308.848.2228,all year, ,120, ,E DP PT NS NR 
-95.131,43.366,ARNO/Arnolds Park City Park  TYPE:CP PH:712.332.2341     LON/LAT:-95.131/43.366,ARNO,Arnolds Park City Park,CP,712.332.2341, , , , ,
-95.751,38.493,ARRO/Arrow Rock - Melvern Reservoir  TYPE:COE PH:785.549.3318 OPEN:early may-late sep    AMEN:WE DP DW SH RS L$  LON/LAT:-95.751/38.493,ARRO,Arrow Rock - Melvern Reservoir,COE,785.549.3318,early may-late sep, , , ,WE DP DW SH RS L$ 
-95.59,41.432,ARRO/Arrowhead Park  TYPE:CP PH:712.485.2295   SITES:60  AMEN:E DP DW SH L$  LON/LAT:-95.59/41.432,ARRO,Arrowhead Park,CP,712.485.2295, , ,60, ,E DP DW SH L$ 
-101.712,41.251,ARTH/Arthur Bay - Lake McConaughy  TYPE:SRA PH:308.284.8800 OPEN:all year    AMEN:DP RS  LON/LAT:-101.712/41.251,ARTH,Arthur Bay - Lake McConaughy,SRA,308.284.8800,all year, , , ,DP RS 
-97.213,47.102,ARTH/Arthur Park  TYPE:CP PH:701.967.8327     AMEN:E  LON/LAT:-97.213/47.102,ARTH,Arthur Park,CP,701.967.8327, , , , ,E 
-101.691,41.571,ARTH/Arthur Park  TYPE:CP    SITES:10  AMEN:E DP FT DW  LON/LAT:-101.691/41.571,ARTH,Arthur Park,CP, , , ,10, ,E DP FT DW 
