-82.873,39.639,AWMA/A.W. Marion State Park  TYPE:SP PH:740.869.3124 OPEN:early apr-late oct  SITES:60  AMEN:E DP RS  LON/LAT:-82.873/39.639,AWMA,A.W. Marion State Park,SP,740.869.3124,early apr-late oct, ,60, ,E DP RS 
-83.166,42.812,ADDI/Addison Oaks County Park  TYPE:CP PH:248.858.4602     LON/LAT:-83.166/42.812,ADDI,Addison Oaks County Park,CP,248.858.4602, , , , ,
-88.925,47.04,AGAT/Agate Beach  TYPE:CP PH:906.482.8319  COMM:primitive SITES:25  AMEN:NH ND VT NS  LON/LAT:-88.925/47.04,AGAT,Agate Beach,CP,906.482.8319, ,primitive,25, ,NH ND VT NS 
-91.562,37.376,AKER/Akers  TYPE:NP PH:573.323.4236 OPEN:mid apr-late dec    AMEN:NH ND NS RS  LON/LAT:-91.562/37.376,AKER,Akers,NP,573.323.4236,mid apr-late dec, , , ,NH ND NS RS 
-83.803,44.574,ALC1/Alcona Park 1  TYPE:CP PH:989.735.3881   SITES:500  AMEN:E DP DW SH  LON/LAT:-83.803/44.574,ALC1,Alcona Park 1,CP,989.735.3881, , ,500, ,E DP DW SH 
-82.515,42.658,ALGO/Algonac State Park  TYPE:SP PH:810.765.5605 OPEN:all year  SITES:400  AMEN:E DP DW SH RS  LON/LAT:-82.515/42.658,ALGO,Algonac State Park,SP,810.765.5605,all year, ,400, ,E DP DW SH RS 
-91.448,37.147,ALLE/Alley Spring - Ozark National Scenic River  TYPE:NP PH:573.323.4236 OPEN:mid apr-mid oct  SITES:162  AMEN:WE DP RS PA  LON/LAT:-91.448/37.147,ALLE,Alley Spring - Ozark National Scenic River,NP,573.323.4236,mid apr-mid oct, ,162, ,WE DP RS PA 
-90.39,40.986,ALLI/Allison Lake Storey  TYPE:CP PH:309.344.1534     AMEN:E DP L$  LON/LAT:-90.39/40.986,ALLI,Allison Lake Storey,CP,309.344.1534, , , , ,E DP L$ 
-84.465,45.524,ALOH/Aloha State Park  TYPE:SP PH:231.625.2522 OPEN:early may-late oct  SITES:285  AMEN:E DP DW SH RS  LON/LAT:-84.465/45.524,ALOH,Aloha State Park,SP,231.625.2522,early may-late oct, ,285, ,E DP DW SH RS 
-82.987,40.237,ALUM/Alum Creek State Park  TYPE:SP PH:740.548.4631 OPEN:all year  SITES:300  AMEN:E DP 45ft DW SH RS  LON/LAT:-82.987/40.237,ALUM,Alum Creek State Park,SP,740.548.4631,all year, ,300, ,E DP 45ft DW SH RS 
-84.257,44.407,AMBR/Ambrose Lake - State Forest  TYPE:SF PH:989.275.4622 OPEN:all year COMM:open all year but snow may block SITES:19  AMEN:NH NR L$  LON/LAT:-84.257/44.407,AMBR,Ambrose Lake - State Forest,SF,989.275.4622,all year,open all year but snow may block,19, ,NH NR L$ 
-90.768,41.438,ANDA/Andalusia Slough - Missssippi River  TYPE:COE PH:563.263.7913   SITES:25  AMEN:NH ND NS NR  LON/LAT:-90.768/41.438,ANDA,Andalusia Slough - Missssippi River,COE,563.263.7913, , ,25, ,NH ND NS NR 
-90.204,40.195,ANDE/Anderson Lake State Conservation Area  TYPE:SCA PH:309.759.4484   SITES:100  AMEN:NH DP NR  LON/LAT:-90.204/40.195,ANDE,Anderson Lake State Conservation Area,SCA,309.759.4484, , ,100, ,NH DP NR 
-87.493,46.226,ANDE/Anderson Lake West - Gwinn State Forest  TYPE:SF  OPEN:all year COMM:open all year but snow may block SITES:19  AMEN:NH ND NS NR  LON/LAT:-87.493/46.226,ANDE,Anderson Lake West - Gwinn State Forest,SF, ,all year,open all year but snow may block,19, ,NH ND NS NR 
-85.038,46.704,ANDR/Andrus Lake - State Forest  TYPE:SF PH:906.293.3293 OPEN:all year COMM:open all year but snow may block SITES:25  AMEN:NH NR  LON/LAT:-85.038/46.704,ANDR,Andrus Lake - State Forest,SF,906.293.3293,all year,open all year but snow may block,25, ,NH NR 
-85.04,42.008,ANGE/Angel Cove  TYPE:CP PH:517.278.8541   SITES:110  AMEN:WE DP  LON/LAT:-85.04/42.008,ANGE,Angel Cove,CP,517.278.8541, , ,110, ,WE DP 
-90.052,42.449,APPL/Apple River Canyon State Park  TYPE:SP PH:815.745.3302 OPEN:all year  SITES:50  AMEN:WES RS PA  LON/LAT:-90.052/42.449,APPL,Apple River Canyon State Park,SP,815.745.3302,all year, ,50, ,WES RS PA 
-83.836,42.507,APPL/Appleton Lake - Brighton Rec Area  TYPE:SP PH:810.229.6566     AMEN:NH VT RS  LON/LAT:-83.836/42.507,APPL,Appleton Lake - Brighton Rec Area,SP,810.229.6566, , , , ,NH VT RS 
-85.522,44.673,ARBU/Arbutus No. 4 - State Forest  TYPE:SF PH:231.922.5280 OPEN:all year COMM:open all year but snow may block SITES:36  AMEN:NH NR  LON/LAT:-85.522/44.673,ARBU,Arbutus No. 4 - State Forest,SF,231.922.5280,all year,open all year but snow may block,36, ,NH NR 
-90.801,40.453,ARGY/Argyle Lake State Park  TYPE:SP PH:309.776.3422 OPEN:early may-late dec  SITES:160  AMEN:E DP DW SH RS PA  LON/LAT:-90.801/40.453,ARGY,Argyle Lake State Park,SP,309.776.3422,early may-late dec, ,160, ,E DP DW SH RS PA 
-92.946,39.063,ARRO/Arrow Rock State Park  TYPE:SP  OPEN:all year    AMEN:E DP 45ft SH RS  LON/LAT:-92.946/39.063,ARRO,Arrow Rock State Park,SP, ,all year, , , ,E DP 45ft SH RS 
-83.548,43.281,ARTH/Arthur Latham Park  TYPE:CP   COMM:rustic   AMEN:NH  LON/LAT:-83.548/43.281,ARTH,Arthur Latham Park,CP, , ,rustic, , ,NH 
-81.266,40.542,ATWO/Atwood Lake Park  TYPE:AUTH PH:330.343.6780   SITES:525  AMEN:E DP DW SH  LON/LAT:-81.266/40.542,ATWO,Atwood Lake Park,AUTH,330.343.6780, , ,525, ,E DP DW SH 
-83.688,44.05,AUGR/Au Gres City Park  TYPE:CP PH:989.876.8310   SITES:110  AMEN:WES DP DW SH  LON/LAT:-83.688/44.05,AUGR,Au Gres City Park,CP,989.876.8310, , ,110, ,WES DP DW SH 
-84.307,46.488,AUNE/Aune - Osborn RV Park  TYPE:CP    SITES:100  AMEN:E DP DW SH PA L$  LON/LAT:-84.307/46.488,AUNE,Aune - Osborn RV Park,CP, , , ,100, ,E DP DW SH PA L$ 
-84.307,46.488,AUNE/Aune Osborn RV Park  TYPE:CP PH:906.632.3268     AMEN:E DP SH  LON/LAT:-84.307/46.488,AUNE,Aune Osborn RV Park,CP,906.632.3268, , , , ,E DP SH 
-93.46,36.672,AUNT/Aunts Creek  TYPE:COE PH:417.739.2792 OPEN:early may-mid sep    AMEN:E DP DW SH RS PA  LON/LAT:-93.46/36.672,AUNT,Aunts Creek,COE,417.739.2792,early may-mid sep, , , ,E DP DW SH RS PA 
-86.838,46.394,AUTR/Autrain Lake  TYPE:NF PH:906.387.2512/906.789.4062 OPEN:mid may-late sep  SITES:80  AMEN:NH RS PA  LON/LAT:-86.838/46.394,AUTR,Autrain Lake,NF,906.387.2512/906.789.4062,mid may-late sep, ,80, ,NH RS PA 
-84.187,44.932,AVER/Avery Lake - State Forest  TYPE:SF  OPEN:all year COMM:open all year but snow may block SITES:16  AMEN:NH ND NS NR  LON/LAT:-84.187/44.932,AVER,Avery Lake - State Forest,SF, ,all year,open all year but snow may block,16, ,NH ND NS NR 
-90.689,38.618,BABL/Babler Memorial State Park  TYPE:SP PH:636.458.3813 OPEN:all year    AMEN:E DP 45ft DW SH RS  LON/LAT:-90.689/38.618,BABL,Babler Memorial State Park,SP,636.458.3813,all year, , , ,E DP 45ft DW SH RS 
-88.501,46.761,BARA/Baraga State Park  TYPE:SP PH:906.353.6558 OPEN:mid apr-mid nov    AMEN:E DP DW SH RS  LON/LAT:-88.501/46.761,BARA,Baraga State Park,SP,906.353.6558,mid apr-mid nov, , , ,E DP DW SH RS 
-81.031,40.047,BARK/Barkcamp State Park  TYPE:SP PH:740.484.4064 OPEN:all year  SITES:125  AMEN:E DP 35ft DW SH RS  LON/LAT:-81.031/40.047,BARK,Barkcamp State Park,SP,740.484.4064,all year, ,125, ,E DP 35ft DW SH RS 
-85.36,45.11,BARN/Barnes County Park  TYPE:CP PH:231.599.2712   SITES:76  AMEN:E DP DW SH  LON/LAT:-85.36/45.11,BARN,Barnes County Park,CP,231.599.2712, , ,76, ,E DP DW SH 
-85.284,42.633,BARR/Barry Expo Center  TYPE:CP PH:269.945.2224   SITES:260  AMEN:E DP DW SH  LON/LAT:-85.284/42.633,BARR,Barry Expo Center,CP,269.945.2224, , ,260, ,E DP DW SH 
-87.586,46.263,BAS1/Bass Lake 1- State Forest  TYPE:SF  OPEN:all year COMM:open all year but snow may block SITES:22  AMEN:NH ND NS NR  LON/LAT:-87.586/46.263,BAS1,Bass Lake 1- State Forest,SF, ,all year,open all year but snow may block,22, ,NH ND NS NR 
-84.053,39.836,BASS/Bass Lake Military - Wright Patterson AFB  TYPE:MIL PH:937.257.2579  COMM:military only - do not use our lat/lon - contact them for directions and info   AMEN:E DP FT DW SH RS  LON/LAT:-84.053/39.836,BASS,Bass Lake Military - Wright Patterson AFB,MIL,937.257.2579, ,military only - do not use our lat/lon - contact them for directions and info, , ,E DP FT DW SH RS 
-86.578,41.221,BASS/Bass Lake State Beach  TYPE:SB PH:574.772.3382   SITES:60  AMEN:E DP DW SH NR  LON/LAT:-86.578/41.221,BASS,Bass Lake State Beach,SB,574.772.3382, , ,60, ,E DP DW SH NR 
-88.59,46.129,BATE/Bates Township Park - Sunset Lake  TYPE:CP    SITES:13  AMEN:NH ND DW SH L$  LON/LAT:-88.59/46.129,BATE,Bates Township Park - Sunset Lake,CP, , , ,13, ,NH ND DW SH L$ 
-91.706,40.588,BATT/Battle of Athens State Park  TYPE:SP PH:660.877.3871 OPEN:all year    AMEN:E DP NS NR  LON/LAT:-91.706/40.588,BATT,Battle of Athens State Park,SP,660.877.3871,all year, , , ,E DP NS NR 
-93.498,36.568,BAXT/Baxter  TYPE:COE PH:417.779.5370 OPEN:early may-mid sep    AMEN:E DP DW SH RS PA  LON/LAT:-93.498/36.568,BAXT,Baxter,COE,417.779.5370,early may-mid sep, , , ,E DP DW SH RS PA 
-85.528,44.492,BAXT/Baxter Bridge - State Forest  TYPE:SF PH:231.775.9727 OPEN:all year COMM:open all year but snow may block SITES:25  AMEN:NH ND NS NR  LON/LAT:-85.528/44.492,BAXT,Baxter Bridge - State Forest,SF,231.775.9727,all year,open all year but snow may block,25, ,NH ND NS NR 
-83.908,43.667,BAYC/Bay City State Park  TYPE:SP PH:989.684.3020   SITES:200  AMEN:E DP 50ft DW SH RS  LON/LAT:-83.908/43.667,BAYC,Bay City State Park,SP,989.684.3020, , ,200, ,E DP 50ft DW SH RS 
-86.708,46.442,BAYF/Bay Furnace  TYPE:NF PH:906.387.2512/906.789.4062 OPEN:mid may-late sep  SITES:71  AMEN:NH DP VT DW NS RS PA  LON/LAT:-86.708/46.442,BAYF,Bay Furnace,NF,906.387.2512/906.789.4062,mid may-late sep, ,71, ,NH DP VT DW NS RS PA 
-84.78,46.45,BAYV/Bay View  TYPE:NF PH:906.635.5311/906.789.4062 OPEN:mid may-mid oct  SITES:24  AMEN:NH ND VT DW NS RS PA  LON/LAT:-84.78/46.45,BAYV,Bay View,NF,906.635.5311/906.789.4062,mid may-mid oct, ,24, ,NH ND VT DW NS RS PA 
-91.479,40.112,BEAR/Bear Creek - Mississippi River  TYPE:COE PH:217.222.0918   SITES:30  AMEN:NH ND NS NR  LON/LAT:-91.479/40.112,BEAR,Bear Creek - Mississippi River,COE,217.222.0918, , ,30, ,NH ND NS NR 
-86.031,44.148,BEAR/Bear Track  TYPE:NF PH:/231.775.2421   SITES:27  AMEN:NH NR  LON/LAT:-86.031/44.148,BEAR,Bear Track,NF,/231.775.2421, , ,27, ,NH NR 
-93.047,36.641,BEAV/Beaver Creek  TYPE:COE PH:417.546.3708 OPEN:early apr-late sep    AMEN:E DP DW SH RS  LON/LAT:-93.047/36.641,BEAV,Beaver Creek,COE,417.546.3708,early apr-late sep, , , ,E DP DW SH RS 
-80.613,40.73,BEAV/Beaver Creek State Park  TYPE:SP PH:330.385.3091 OPEN:all year  SITES:50  AMEN:NH DP NS RS  LON/LAT:-80.613/40.73,BEAV,Beaver Creek State Park,SP,330.385.3091,all year, ,50, ,NH DP NS RS 
-89.976,39.211,BEAV/Beaver Dam State Park  TYPE:SP PH:217.854.8020 OPEN:early apr-late dec  SITES:75  AMEN:E DP DW SH RS PA  LON/LAT:-89.976/39.211,BEAV,Beaver Dam State Park,SP,217.854.8020,early apr-late dec, ,75, ,E DP DW SH RS PA 
-85.495,45.657,BEAV/Beaver Island - State Forest  TYPE:SF PH:989.732.3541 OPEN:all year COMM:take car ferry SITES:25  AMEN:NH VT DW NR  LON/LAT:-85.495/45.657,BEAV,Beaver Island - State Forest,SF,989.732.3541,all year,take car ferry,25, ,NH VT DW NR 
-83.793,44.93,BEAL/Beaver Lake County Park  TYPE:CP PH:989.379.4462     AMEN:E DP DW SH  LON/LAT:-83.793/44.93,BEAL,Beaver Lake County Park,CP,989.379.4462, , , , ,E DP DW SH 
-92.859,37.738,BENN/Bennett Spring State Park  TYPE:SP PH:417.532.4338 OPEN:all year    AMEN:E DP 45ft SH RS  LON/LAT:-92.859/37.738,BENN,Bennett Spring State Park,SP,417.532.4338,all year, , , ,E DP 45ft SH RS 
-85.89,43.669,BENT/Benton Lake  TYPE:NF PH:231.745.4631/231.775.2421   SITES:66  AMEN:NH NR  LON/LAT:-85.89/43.669,BENT,Benton Lake,NF,231.745.4631/231.775.2421, , ,66, ,NH NR 
-89.574,46.591,BERG/Bergland Town Park  TYPE:CP PH:906.575.3932   SITES:15  AMEN:E DP FT DW SH  LON/LAT:-89.574/46.591,BERG,Bergland Town Park,CP,906.575.3932, , ,15, ,E DP FT DW SH 
-93.507,38.212,BERB/Berry Bend - Harry S. Truman Lake  TYPE:COE PH:660.477.3402 OPEN:all year    AMEN:E DP DW SH RS PA  LON/LAT:-93.507/38.212,BERB,Berry Bend - Harry S. Truman Lake,COE,660.477.3402,all year, , , ,E DP DW SH RS PA 
-91.062,37.931,BERM/Berryman  TYPE:NF PH:573.438.5427/573.364.4621   SITES:19  AMEN:NH ND NS NR N$  LON/LAT:-91.062/37.931,BERM,Berryman,NF,573.438.5427/573.364.4621, , ,19, ,NH ND NS NR N$ 
-85.121,42.975,BERT/Bertha Brock County Park  TYPE:CP PH:616.522.7275  COMM:rustic SITES:23  AMEN:NH ND NS NR L$  LON/LAT:-85.121/42.975,BERT,Bertha Brock County Park,CP,616.522.7275, ,rustic,23, ,NH ND NS NR L$ 
-88.428,46.092,BEWA/Bewabic State Park  TYPE:SP PH:906.875.3324 OPEN:mid apr-mid nov  SITES:135  AMEN:E DP DW SH RS  LON/LAT:-88.428/46.092,BEWA,Bewabic State Park,SP,906.875.3324,mid apr-mid nov, ,135, ,E DP DW SH RS 
-93.568,36.618,BIGB/Big Bay  TYPE:NF PH:417.683.4428/573.364.4621 OPEN:mid may-late sep  SITES:61  AMEN:NH ND NS RS PA  LON/LAT:-93.568/36.618,BIGB,Big Bay,NF,417.683.4428/573.364.4621,mid may-late sep, ,61, ,NH ND NS RS PA 
